"STAID"	"SiteIndex"	"DRAIN_SQKM"	"HUC02"	"LAT_GAGE"	"LNG_GAGE"	"STATE"	"BOUND_SOURCE"	"CLASS"	"AGGECOREGION"	"HYDRO_DISTURB_INDX"	"nobs_TP_2019"	"nobs_TP_2012"	"mean_TP_2019"	"mean_TP_2012"	"nobs_Q"	"nobs_Q_2012"	"nobs_Q_pct"	"nobs_Q_2012_pct"
"02204070"	1642	477.4	"03"	33.629832	-84.128528	"GA"	1	"Non-ref"	"SEPlains"	26	129	129	0.2832	0.2832	13241	10685	90.63	88.64
"02210500"	1661	3710.1	"03"	33.3079	-83.838236	"GA"	1	"Non-ref"	"SEPlains"	23	151	151	0.0799	0.0799	12998	10442	88.97	86.63
"02215500"	1670	13566.9	"03"	31.920183	-82.674027	"GA"	1	"Non-ref"	"SEPlains"	21	438	355	0.0798	0.0819	14610	12054	100	100
"02225000"	1694	29932.7	"03"	31.939083	-82.35346	"GA"	1	"Non-ref"	"SEPlains"	19	169	169	0.0831	0.0831	14610	12054	100	100
"02228000"	1701	7385.1	"03"	31.220641	-81.865665	"GA"	1	"Non-ref"	"SECstPlain"	15	77	77	0.113	0.113	14610	12054	100	100
"02232500"	1715	4094.6	"03"	28.543055	-80.943392	"FL"	1	"Non-ref"	"SECstPlain"	27	80	80	0.0701	0.0701	14519	11963	99.38	99.25
"02236000"	1734	8186.6	"03"	29.008318	-81.382565	"FL"	4	"Non-ref"	"SECstPlain"	29	144	144	0.0909	0.0909	13967	11525	95.6	95.61
"02248000"	1767	93.5	"03"	29.050541	-81.046723	"FL"	3	"Non-ref"	"SECstPlain"	17	78	78	0.111	0.111	14609	12053	99.99	99.99
"02256500"	1769	824.3	"03"	26.932559	-81.314795	"FL"	1	"Non-ref"	"SECstPlain"	17	162	162	0.1819	0.1819	13447	11016	92.04	91.39
"02266300"	1777	257.8	"03"	28.332787	-81.579796	"FL"	1	"Non-ref"	"SECstPlain"	18	125	125	0.2841	0.2841	14599	12043	99.92	99.91
