LakeID,n_year_epiTP,n_year_hypoTP,n_year_hypoDO,LakeName,Country,StateOrProvince,Latitude_DD,Longitude_DD,MaximumDepth_m,MeanDepth_m,SurfaceArea_ha,Elevation_m,hylak_id,Available?,Region?
WI-663105,12,0,2,Deep Lake,USA,Wisconsin,45.7683271,-91.7700062,7.62,3.9624,17.40554486,383,1034845,yes,drainage_region_0001_v2-1
WI-683125,12,0,13,Lac La Belle,USA,Wisconsin,43.12739,-88.515854,13.716,3.3528,466.89433192,264,111075,yes,drainage_region_0001_v2-1
WI-683137,12,0,12,North Lake,USA,Wisconsin,43.1527695,-88.3797305,23.89632,4.4,178.2439487,274,111065,yes,drainage_region_0001_v2-1
WI-283123,11,0,12,Rock Lake,USA,Wisconsin,43.08344,-88.93118,18.288,4.8768,552.2142813,252,111101,yes,drainage_region_0001_v2-1
WI-583047,11,0,13,Sand Lake,USA,Wisconsin,45.8483287,-91.4855616,15.24,6.4008,384.24126328,394,108359,yes,drainage_region_0001_v2-1
WI-593121,11,0,7,White Clay Lake,USA,Wisconsin,44.801606,-88.4037811,14.0208,4.2672,95.69609842,247,1042936,no,
WI-663053,11,0,10,Slim Lake,USA,Wisconsin,45.7972142,-91.5558369,12.8016,6.7056,84.92740396,390,1034551,yes,drainage_region_0001_v2-1
WI-663088,11,0,11,Long Lake,USA,Wisconsin,45.757774,-91.6475,22.5552,7.9248,1407.46957998,382,8801,yes,drainage_region_0001_v2-1
WI-213124,10,0,13,Metonga Lake,USA,Wisconsin,45.539994,-88.9039006,24.0792,7.62,824.952411,487,108807,yes,drainage_region_0003_v2-1
WI-263160,10,0,9,Spider Lake,USA,Wisconsin,46.211723,-90.027,14.9352,5.1816,145.15277448,487,107712,yes,drainage_region_0001_v2-1
WI-303121,10,0,5,Lake Mary,USA,Wisconsin,42.523328,-88.2566746,10.0584,2.7432,132.48610268,239,111284,yes,drainage_region_0001_v2-1
WI-443134,10,0,8,Minocqua Lake,USA,Wisconsin,45.872494,-89.69223,18.288,7.0104,542.04856898,483,1083232,no,
