WQ_id;LargerBasin;name;lat;lon;ShapefilePresent;Q_Present;Q_Station_CUAHSHI;Q_Station_Meghan;Q_Station_Lemisa;Q_Station_Nitin;Orthophosphate_as_P_Filtered_count;Total_Phosphorus_mixed_forms_as_P_Unfiltered_count
06007601702;SW;CREDIT RIVER STATION;43.62214889;-79.73326498;Yes;No;NA;NA;NA;NA;465;497
06007601802;SW;CREDIT RIVER STATION;43.85620614;-80.04821261;Yes;No;NA;NA;NA;NA;479;505
06007602202;SW;SILVER CREEK STATION;43.63747426;-79.88616561;Yes;No;NA;NA;NA;NA;438;465
06007602302;SW;CREDIT RIVER STATION;43.88846164;-80.06330648;Yes;Yes;NA;NA;NA;02HB013;1186;1208
06007605002;SW;CREDIT RIVER STATION;43.54919451;-79.63327273;Yes;No;NA;NA;NA;NA;133;158
06007605102;SW;SHAW'S CREEK STATION;43.85975964;-80.05739011;Yes;No;NA;NA;NA;NA;142;168
06007605202;SW;EAST CREDIT RIVER STATION;43.80982126;-79.92764911;Yes;No;NA;NA;NA;NA;145;171
06008000602;SW;ETOBICOKE CREEK STATION;43.60505564;-79.55975311;Yes;Yes;NA;NA;NA;02HC030;183;224
06008000702;SW;Etobicoke Creek West STATION;43.67833164;-79.67950823;Yes;No;NA;NA;NA;NA;143;177
06008200302;SW;MIMICO CREEK STATION;43.62847489;-79.49287136;Yes;Yes;NA;NA;NA;02HC033;186;226
06008300902;SW;COLD CREEK STATION;43.88810001;-79.71795598;Yes;No;NA;NA;NA;NA;164;191
06008301802;SW;HUMBER RIVER STATION;43.92614414;-79.80320748;Yes;No;NA;NA;NA;NA;207;354
06008301902;SW;HUMBER RIVER STATION;43.65143464;-79.49132861;Yes;Yes;NA;NA;NA;02HC003;1071;1131
06008310302;SW;HUMBER RIVER WEST STATION;43.75823701;-79.67843886;Yes;No;NA;NA;NA;NA;137;167
06008310402;SW;CENTREVILLE CREEK STATION;43.92418126;-79.83452048;Yes;Yes;NA;NA;NA;02HC051;139;168
06008501402;SW;DON RIVER STATION;43.68847164;-79.36213573;Yes;No;NA;NA;NA;NA;1085;1130
06009701102;SW;ROUGE RIVER STATION;43.81085851;-79.15978098;Yes;No;NA;NA;NA;NA;437;480
06009701802;SW;BRUCE CREEK STATION;43.89673301;-79.32307036;Yes;No;NA;NA;NA;NA;138;171
06010400102;SW;DUFFINS CREEK STATION;43.83918989;-79.03983861;Yes;No;NA;NA;NA;NA;564;618
06010400802;SW;MITCHELL CREEK STATION;43.96144701;-79.12565398;Yes;No;NA;NA;NA;NA;192;231
06010800102;SW;LYNDE CREEK STATION;43.85667164;-78.96067786;Yes;Yes;NA;NA;NA;02HC018;385;403
06010800202;SW;LYNDE CREEK STATION;43.93360664;-78.96188898;Yes;No;NA;NA;NA;NA;119;136
06011100302;SW;OSHAWA CREEK WEST STATION;43.94620801;-78.90366111;Yes;No;NA;NA;NA;NA;111;127
06011200302;SW;FAREWELL CREEK STATION;43.88073326;-78.82148323;Yes;No;NA;NA;NA;NA;269;287
06011200602;SW;BLACK CREEK STATION;43.91156526;-78.78870536;Yes;No;NA;NA;NA;NA;110;127
06011600102;SW;BOWMANVILLE CREEK STATION;43.89429201;-78.67502098;Yes;Yes;NA;NA;NA;02HD006;454;474
06011600502;SW;BOWMANVILLE CREEK STATION;43.96982076;-78.74749473;Yes;No;NA;NA;NA;NA;110;127
06011600602;SW;BOWMANVILLE CREEK STATION;44.04234326;-78.73804536;Yes;No;NA;NA;NA;NA;108;125
06011700202;SW;ORONO CREEK STATION;43.95709651;-78.61934198;Yes;No;NA;NA;NA;NA;306;447
06011700302;SW;WILMOT CREEK STATION;43.91289539;-78.60870623;Yes;Yes;NA;NA;NA;02HD009;394;424
06011800102;SW;GRAHAM CREEK STATION;43.90606064;-78.58288086;Yes;No;NA;NA;NA;NA;475;509
06012900102;SW;GANARASKA RIVER STATION;43.94788839;-78.29237698;Yes;No;NA;NA;NA;NA;518;552
06012900202;SW;GANARASKA RIVER STATION;44.01504376;-78.43750386;Yes;Yes;NA;NA;NA;02HD003;163;187
06012900502;SW;GANARASKA RIVER STATION;43.99061964;-78.32816023;Yes;Yes;NA;NA;NA;02HD012;142;166
06013000102;SW;GAGE CREEK STATION;43.95566151;-78.26639348;Yes;No;NA;NA;NA;NA;480;514
06013300402;SW;COBOURG  BROOK STATION;43.95586776;-78.17994311;Yes;Yes;NA;NA;NA;02HD019;330;357
06013300502;SW;COBOURG CREEK WEST STATION;43.98844226;-78.21093061;Yes;No;NA;NA;NA;NA;143;167
06014200102;SW;SHELTER VALLEY BROOK STATION;43.97636464;-78.00609886;Yes;No;NA;NA;NA;NA;275;280
06015700102;SW;CONSECON CREEK STATION;43.99636176;-77.5180321;Yes;No;NA;NA;NA;NA;152;283
06015700302;SW;CONSECON CREEK STATION;44.03077901;-77.28512935;Yes;No;NA;NA;NA;NA;147;265
06016300102;SW;BLOOMFIELD CREEK STATION;43.97329951;-77.2464741;Yes;No;NA;NA;NA;NA;153;282
