basin,area_km2,Temperate-or-sub-polar-needleleaf-forest,Sub-polar-taiga-needleleaf-forest,Tropical-or-sub-tropical-broadleaf-evergreen-forest,Tropical-or-sub-tropical-broadleaf-deciduous-forest,Temperate-or-sub-polar-broadleaf-deciduous-forest,Mixed-Forest,Tropical-or-sub-tropical-shrubland,Temperate-or-sub-polar-shrubland,Tropical-or-sub-tropical-grassland,Temperate-or-sub-polar-grassland,Sub-polar-or-polar-shrubland-lichen-moss,Sub-polar-or-polar-grassland-lichen-moss,Sub-polar-or-polar-barren-lichen-moss,Wetland,Cropland,Barren-Lands,Urban-and-Built-up,Water,Snow-and-Ice,BD,CLAY,GRAV,OC,SAND,SILT,mean_elev,mean_slope,std_elev,std_slope
06BA002,2239.518184633632,0.6443964719526715,0.0006276950789939605,0.0,0.0,0.008066730001665629,0.09280749347628947,0.0,0.015707799458362377,0.0,0.01886863745442656,0.0,0.0,0.0,0.18335289418325612,0.0,0.0,0.0001260788027217599,0.036046199591612635,0.0,110.23483743226345,19.84287724051688,8.108013755731555,1330.1415694039183,42.53074197582326,34.55721133805753,591.0938206041002,1.2426765468312422,57.61364058418544,1.1316685110440927
05KD003,320957.2823906735,0.07929879177388205,1.6497441094284945e-08,0.0,0.0,0.02053877524597568,0.03352964124249411,0.0,0.0653995959177269,0.0,0.20401225356235914,0.0,0.0,0.0,0.016993436660784622,0.47222923462758887,0.0247777239958143,0.04103473963231169,0.04112449945973218,0.0010612913838894135,137.30795860340774,23.95263080653187,3.921644011818789,224.3089257489178,40.191474484270366,34.99554173970736,867.666227051998,2.4828647353756472,403.6780914081196,5.16605349337324
05AD041,653.475796396226,0.2673505539321683,0.0,0.0,0.0,0.004736192299592723,0.005102314691830929,0.0,0.3490770549995664,0.0,0.09159391245820905,0.0,0.0,0.0,0.001128647976072663,0.14804971006134615,0.08526935459228968,0.019462295587399335,0.025404214261430656,0.0028257491400941184,136.57757130509938,27.103932584269664,19.734766637856527,227.62219101123594,34.91918755401902,36.68269230769231,1543.5798774700147,9.31782032026304,377.32678790052097,11.73081530771971
05PF069,138340.15478759256,0.22691098318161984,0.0,0.0,0.0,0.08795481069199222,0.2823880739061194,0.0,0.02616632329667829,0.0,0.01409945521283682,0.0,0.0,0.0,0.15818962703690312,0.010925360956223098,0.00039660205021503994,0.0112651535995528,0.18170361006785934,0.0,130.59579651463835,12.195475737939129,7.752388011239198,516.6628330659469,65.58857342398653,21.48036680103069,392.05551801174437,1.9155666829773754,52.32443515929971,1.8088189897114653
05JM001,60360.35693744896,0.00012058076245638298,0.0,0.0,0.0,0.03481014048937535,0.00016809875429225405,0.0,0.020677984003118755,0.0,0.06409543623419871,0.0,0.0,0.0,0.016887288749052046,0.7617785938780982,0.00015201935959122004,0.043129404719790314,0.05818045305002675,0.0,139.37924704611078,28.06997883119874,0.3873303838727392,129.50660417884538,37.924222998706846,33.07222746275531,585.3992914622916,0.7545717565626336,53.526057252212624,0.9928541438932255
05PA012,3685.5026726161127,0.22024695047748544,0.0,0.0,0.0,0.04057892534399985,0.2056502750593235,0.0,0.021929042610090925,0.0,0.04379890351088093,0.0,0.0,0.0,0.34842639533825676,8.186803119961078e-05,0.002869079948817685,0.015650356434173788,0.10076820324577153,0.0,133.6500318369946,11.759750079592486,26.592804839223177,591.0181669850366,59.93320200573066,27.49777141037886,490.6839507190504,1.8598071970595946,48.63144112953743,1.4731989875579086
05EDU01,42749.5502515662,0.27203729597618576,1.2288894710183827e-07,0.0,0.0,0.011038786414299194,0.1274162988020171,0.0,0.04634562065779586,0.0,0.03660202230147649,0.0,0.0,0.0,0.022457176786195965,0.3010808082897607,0.09266207567214621,0.050595120448577426,0.03377664155567576,0.0059880302069224576,131.64873973862993,22.600486235610493,7.0706707633515755,529.2761694423476,37.98811243866767,38.52158278684657,1138.71503880078,5.203588874385043,587.2361952136752,8.172514106719602
05NG024,3518.3882994688092,0.00010631522591351168,0.0,0.0,0.0,0.08609122810578745,0.00048717239559413467,0.0,0.04787559849890006,0.0,0.037141059244730545,0.0,0.0,0.0,0.010593462247945376,0.7264932975735262,3.5522987178738985e-06,0.03424339843343627,0.05696491597544854,0.0,139.40729702353124,24.061048776686924,0.45042465326476544,144.51636278634876,39.99495480754246,34.41462131837307,639.0870994542743,0.8167783203170713,51.83912920958495,0.865884594223525
06DA004,7697.66345816557,0.4213743333867285,0.041521343098334496,0.0,0.0,0.002276794695477178,0.0,0.0,0.09915747790988932,0.0,0.2343388628881462,0.0,0.0,0.0,0.010311243259789861,0.0,0.000852837232182263,0.001499928596046783,0.1886671789334054,0.0,116.10719694763209,8.08122415098736,4.27081027552863,806.4385594454477,75.443241393371,14.564032737228404,513.5734311704413,1.701491268112851,36.030287360788286,1.6646292148225272
05TG003,5848.8237315684655,0.7255982125654247,0.0,0.0,0.0,0.008781768120194605,0.0006727331969895963,0.0,0.1420757420687599,0.0,0.007660938933443162,0.0,0.0,0.0,0.027233983882685466,0.0,0.004573760842243697,0.0004025793359694694,0.08300028105428944,0.0,81.5514595955622,37.56357699268235,6.810714847745692,1362.1225312770478,24.859902431347862,33.955926902195294,255.29555592943703,0.9937497660932672,32.408539253397386,0.9147982721717066
05OC012,118043.24032170832,0.003163266899789301,0.0,0.0,0.0,0.052497822398768434,0.004823124729163721,0.0,0.00261039661388387,0.0,0.027700120650665808,0.0,0.0,0.0,0.1310832386603457,0.6952818618173591,0.0008211693236566588,0.03785756690997829,0.044161431996389076,0.0,142.61703705624882,22.953680306488426,6.843755248935392,245.29184821807905,39.989229184574796,36.59974829810989,367.6238483931049,0.7011516110956706,84.24163031289669,0.7797019123547294
06EA002,488.4389820893247,0.3564276125403353,0.0,0.0,0.0,0.06831585323089674,0.000708413472607422,0.0,0.24665717392613373,0.0,0.1157583034914158,0.0,0.0,0.0,0.04717502417460975,0.0,0.0016807109637611089,0.0025148678277563483,0.16076204037248382,0.0,118.58644519883609,8.029704170708051,5.001818622696411,752.3736663433559,75.57516973811833,14.643307468477207,336.6571850935758,1.9282071749045457,19.92167039376568,1.4458937265587413
