id,name,lat,lon,obs_q
05OC012,RED RIVER NEAR STE. AGATHE,49.56700134277344,-97.18174743652344,05OC012
05OJ010,RED RIVER NEAR LOCKPORT,50.10778045654297,-96.93167114257812,05OJ010
05PA006,NAMAKAN RIVER AT OUTLET OF LAC LA CROIX,48.38256072998047,-92.17630767822266,05PA006
05PA012,BASSWOOD RIVER NEAR WINTON,48.08256149291992,-91.6511688232422,05PA012
05PB009,SEINE RIVER AT STURGEON FALLS GENERATING STATION,48.74443817138672,-92.28472137451172,05PB009
05PB014,TURTLE RIVER NEAR MINE CENTRE,48.8502197265625,-92.7238311767578,05PB014
05PB018,ATIKOKAN RIVER AT ATIKOKAN,48.75196838378906,-91.5840835571289,05PB018
05PC018,RAINY RIVER AT MANITOU RAPIDS,48.63447189331055,-93.91336059570312,05PC018
05PC019,RAINY RIVER AT FORT FRANCES,48.60852813720703,-93.4034423828125,05PC019
05PE011,LAKE OF THE WOODS WESTERN OUTLET ABOVE NORMAN DAM AND POWERHOUSE SITE NO.1,49.771968841552734,-94.52446746826172,05PE011
05PF069,WINNIPEG RIVER AT PINE FALLS GENERATING STATION,50.567501068115234,-96.17749786376952,05PF069
05PH003,WHITEMOUTH RIVER NEAR WHITEMOUTH,49.93878173828125,-95.9568328857422,05PH003
05QA002,ENGLISH RIVER AT UMFREVILLE,49.87339019775391,-91.45992279052734,05QA002
05QA004,STURGEON RIVER AT MCDOUGALL MILLS,50.16727828979492,-91.5407485961914,05QA004
05QC003,TROUTLAKE RIVER ABOVE BIG FALLS,50.905609130859375,-93.0919189453125,05QC003
05QD006,WABIGOON RIVER NEAR QUIBELL,49.95782852172852,-93.40052795410156,05QD006
05QD016,WABIGOON RIVER AT DRYDEN,49.782169342041016,-92.84284210205078,05QD016
05QE008,CEDAR RIVER BELOW WABASKANG LAKE,50.50756072998047,-93.25858306884766,05QE008
05QE009,STURGEON RIVER AT OUTLET OF SALVESEN LAKE,50.35224914550781,-94.4664077758789,05QE009
05TD001,GRASS RIVER ABOVE STANDING STONE FALLS,55.74061965942383,-97.0051727294922,05TD001
05TE002,BURNTWOOD RIVER ABOVE LEAF RAPIDS,55.496620178222656,-99.22088623046876,05TE002
05TG001,BURNTWOOD RIVER NEAR THOMPSON,55.74216842651367,-97.89566802978516,05TG001
05TG003,ODEI RIVER NEAR THOMPSON,55.99525833129883,-97.3576202392578,05TG003
05UA003,GUNISAO RIVER AT JAM RAPIDS,53.82221984863281,-97.7750015258789,05UA003
05UB009,NELSON RIVER (WEST CHANNEL) AT JENPEG,54.4980583190918,-98.04805755615234,05UB009
05UE005,NELSON RIVER AT KELSEY GENERATING STATION,56.03889083862305,-96.5250015258789,05UE005
05UF007,NELSON RIVER AT LONG SPRUCE GENERATING STATION,56.397499084472656,-94.36943817138672,05UF007
06AD006,BEAVER RIVER AT COLD LAKE RESERVE,54.35515975952149,-110.21727752685548,06AD006
06AF001,COLD RIVER AT OUTLET OF COLD LAKE,54.56602096557617,-109.8424301147461,06AF001
06AG002,DORE RIVER NEAR THE MOUTH,54.93069076538086,-107.74405670166016,06AG002
06BA002,DILLON RIVER BELOW DILLON LAKE,55.71443939208984,-109.39681243896484,06BA002
06BB005,CANOE RIVER NEAR BEAUVAL,55.39683151245117,-108.01882934570312,06BB005
06BD001,HAULTAIN RIVER ABOVE NORBERT RIVER,56.24522018432617,-106.56336212158205,06BD001
06CD002,CHURCHILL RIVER ABOVE OTTER RAPIDS,55.64768981933594,-104.73600006103516,06CD002
06DA004,GEIKIE RIVER BELOW WHEELER RIVER,57.584171295166016,-104.18536376953124,06DA004
06DA005,WHEELER RIVER BELOW RUSSELL LAKE,57.47856140136719,-104.9876937866211,06DA005
06DC001,WATHAMAN RIVER BELOW WATHAMAN LAKE,57.08932876586914,-103.70950317382812,06DC001
06DD002,REINDEER RIVER ABOVE DEVIL RAPIDS,56.19414138793945,-103.15892791748048,06DD002
06EA002,CHURCHILL RIVER AT SANDY BAY,55.5248908996582,-102.31588745117188,06EA002
06EA006,CHURCHILL RIVER ABOVE GRANVILLE FALLS,56.14765930175781,-100.4593276977539,06EA006
06EB004,CHURCHILL RIVER ABOVE LEAF RAPIDS,56.46821975708008,-100.03601837158205,06EB004
06FB001,CHURCHILL RIVER BELOW FIDLER LAKE,57.2388801574707,-96.83245086669922,06FB001
06FB002,LITTLE BEAVER RIVER NEAR THE MOUTH,57.65327835083008,-95.66385650634766,06FB002
06FD001,CHURCHILL RIVER ABOVE RED HEAD RAPIDS,58.11862182617188,-94.62245178222656,06FD001
